"N","Time"
"745000","1580772"
"746000","1553677"
"747000","2433262"
"748000","1816542"
"749000","2267204"
"750000","2778713"
"751000","2153049"
"752000","2145805"
"753000","1724187"
"754000","1823231"
"755000","2241994"
"756000","2307728"
"757000","2305224"
"758000","2337485"
"759000","2340267"
"760000","2324405"
"761000","2300834"
"762000","2720392"
"763000","2991296"
"764000","2999415"
"765000","2827779"
"766000","3745496"
"767000","6121375"
"768000","7367267"
"769000","2825320"
"770000","3089802"
"771000","3602223"
"772000","2971206"
"773000","3082801"
"774000","2972110"
"775000","2764519"
"776000","2608673"
"777000","2618476"
"778000","3079787"
"779000","2350403"
"780000","2417005"
"781000","2799816"
"782000","2730513"
"783000","2664852"
"784000","2855883"
"785000","2606816"
"786000","2388481"
"787000","2469869"
"788000","2554335"
"789000","2387441"
"790000","2482093"
"791000","2363372"
"792000","2323567"
"793000","2321685"
"794000","2365930"
"795000","2566097"
"796000","2444937"
"797000","2499910"
"798000","2397073"
"799000","2310906"
"800000","2379647"
"801000","2358338"
"802000","2465078"
"803000","2403673"
"804000","2391860"
"805000","2373847"
"806000","2319238"
"807000","2406873"
"808000","2365701"
"809000","8037588"
"810000","2360717"
"811000","2398253"
"812000","2502982"
"813000","2439290"
"814000","2530632"
"815000","2474269"
"816000","2422925"
"817000","2528646"
"818000","2577568"
"819000","2497769"
"820000","2497038"
"821000","2853791"
"822000","2800402"
"823000","2854707"
"824000","2842802"
"825000","2752737"
"826000","2739660"
"827000","2730639"
"828000","2738176"
"829000","2822930"
"830000","2810417"
"831000","2759054"
"832000","2825231"
"833000","2821853"
"834000","2864097"
"835000","2946318"
"836000","2941562"
"837000","2893728"
"838000","2904328"
"839000","2848184"
"840000","2965311"
"841000","3034290"
"842000","2947296"
"843000","2961049"
"844000","2966104"
"845000","2932217"
"846000","2977949"
"847000","2989271"
"848000","3384918"
"849000","2987961"
"850000","2965862"
"851000","2972347"
"852000","3111256"
"853000","3157017"
"854000","3091484"
"855000","3090562"
"856000","3150330"
"857000","3191470"
"858000","3237981"
"859000","3196605"
"860000","3116237"
"861000","3162508"
"862000","3120105"
"863000","3209935"
"864000","3262254"
"865000","3178519"
"866000","3400555"
"867000","3349335"
"868000","3459173"
"869000","3378408"
"870000","3327023"
"871000","3300287"
"872000","3303275"
"873000","3498440"
"874000","3421709"
"875000","3336028"
"876000","3338862"
"877000","3307942"
"878000","3400921"
"879000","3334221"
"880000","3343202"
"881000","3406144"
"882000","3618367"
"883000","3762361"
"884000","3703156"
"885000","3615599"
"886000","3479780"
"887000","3752790"
"888000","3645494"
"889000","3692028"
"890000","3604524"
"891000","3885558"
"892000","3850017"
"893000","3886148"
"894000","3867228"
"895000","3877831"
"896000","3948589"
"897000","3867016"
"898000","4113464"
"899000","4014204"
"900000","4123590"
"901000","4159764"
"902000","4027665"
"903000","4032534"
"904000","4365921"
"905000","4721002"
"906000","4861370"
"907000","4219228"
"908000","4854097"
"909000","6607632"
"910000","4981708"
"911000","4769179"
"912000","4505558"
"913000","4424369"
"914000","4358894"
"915000","4348845"
"916000","4230615"
"917000","4364153"
"918000","4322292"
"919000","4300172"
"920000","4200732"
"921000","4165675"
"922000","4198885"
"923000","4272456"
"924000","4433276"
"925000","4691612"
"926000","4431141"
"927000","4230382"
"928000","4200497"
"929000","4241667"
"930000","4256901"
"931000","4176407"
"932000","4234142"
"933000","4122533"
"934000","4231146"
"935000","4191531"
"936000","4210143"
"937000","4335269"
"938000","4341936"
"939000","4403074"
"940000","4356651"
"941000","4512460"
"942000","4489152"
"943000","4458229"
"944000","4370715"
"945000","4551984"
"946000","4610068"
"947000","4557961"
"948000","4646839"
"949000","4549419"
"950000","4462860"
"951000","4455492"
"952000","4521868"
"953000","4580577"
"954000","4428044"
"955000","4530462"
"956000","4580426"
"957000","4536972"
"958000","4540572"
"959000","4555498"
"960000","4594269"
"961000","4511345"
"962000","4550759"
"963000","4698291"
"964000","4619373"
"965000","4609847"
"966000","4576242"
"967000","4705121"
"968000","4786546"
"969000","4744761"
"970000","4845722"
"971000","4714518"
"972000","4698636"
"973000","4649930"
"974000","4801281"
"975000","4906450"
"976000","4739738"
"977000","4766281"
"978000","4774954"
"979000","4788301"
"980000","4758650"
"981000","4810830"
"982000","4752320"
"983000","4756232"
"984000","4838822"
"985000","4851488"
"986000","4758964"
"987000","4868447"
"988000","4829625"
"989000","5130896"
"990000","5053944"
"991000","4845348"
"992000","4752277"
"993000","4700664"
"994000","4725285"
"995000","4781402"
"996000","4951130"
"997000","4893828"
"998000","4846422"
"999000","4831108"
